IP,region,bytes
60.29.153.35,China,118415
8.8.8.8,United States,1568
120.92.65.240,China,17334
110.43.68.16,China,7908
110.43.39.65,China,7626
42.157.163.171,China,7626
223.104.228.31,China,119724
42.157.163.28,China,592
110.43.39.152,China,592
110.43.39.145,China,592
42.157.163.31,China,8302266
110.43.39.94,China,592
110.43.39.67,China,592
110.43.39.33,China,592
110.43.39.198,China,592
42.157.163.4,China,296
42.157.163.239,China,592
42.157.163.26,China,888
42.157.163.203,China,888
110.43.68.99,China,888
110.43.68.197,China,888
110.43.68.240,China,888
110.43.68.204,China,888
110.43.39.2,China,296
110.43.39.191,China,296
110.43.39.62,China,296
110.43.39.159,China,296
110.43.39.124,China,296
110.43.39.71,China,296
42.157.163.157,China,296
42.157.163.8,China,296
114.114.114.114,China,490
110.43.68.180,China,592
110.43.68.18,China,296
