IP,region,bytes
110.43.0.83,China,4964
120.92.65.240,China,197753
110.43.68.16,China,75736
42.157.163.171,China,75454
110.43.39.65,China,75262
110.43.87.34,China,15612
117.131.219.60,China,6402
60.29.153.35,China,10235205
8.8.8.8,United States,23814
114.114.114.114,China,8526
36.156.49.114,China,148
45.124.124.97,China,74
36.156.49.83,China,74
120.92.162.194,China,74
221.238.245.30,China,1518
223.104.228.31,China,119724
42.157.163.28,China,592
110.43.39.152,China,592
110.43.39.145,China,592
42.157.163.31,China,10708048
110.43.39.94,China,592
110.43.39.67,China,592
110.43.39.33,China,592
110.43.39.198,China,592
42.157.163.4,China,296
42.157.163.239,China,592
42.157.163.26,China,888
42.157.163.203,China,888
110.43.68.99,China,888
110.43.68.197,China,888
110.43.68.240,China,1207999
110.43.68.204,China,888
110.43.39.2,China,296
110.43.39.191,China,296
110.43.39.62,China,296
110.43.39.159,China,296
110.43.39.124,China,296
110.43.39.71,China,296
42.157.163.157,China,296
42.157.163.8,China,296
110.43.68.180,China,592
110.43.68.18,China,296
