# Config informations
# phase start_time end_time duration
setup 2024-04-16_15:28:09 2024-04-16_15:28:51 42
idle_on_local 2024-04-16_15:29:08 2024-04-16_15:44:14 900
idle_off_local 2024-04-16_15:45:16 2024-04-16_16:00:21 900
idle_off_remote 2024-04-16_16:01:39 2024-04-16_16:16:44 900
idle_on_remote 2024-04-16_16:18:12 2024-04-16_16:33:16 900
off_remote 2024-04-16_16:34:10 2024-04-16_16:34:28 18
on_remote 2024-04-16_16:34:30 2024-04-16_16:34:34 4
off_local 2024-04-16_16:34:41 2024-04-16_16:34:44 3
on_local 2024-04-16_16:34:46 2024-04-16_16:34:54 8
off_voice 2024-04-16_16:35:00 2024-04-16_16:35:09 9
on_voice 2024-04-16_16:35:12 2024-04-16_16:35:22 10
off_physical 2024-04-16_16:35:24 2024-04-16_16:35:29 5
on_physical 2024-04-16_16:35:31 2024-04-16_16:35:36 5
update 2024-04-16_16:35:46 2024-04-16_16:35:54 8
delete 2024-04-16_16:35:56 2024-04-16_16:36:03 7
